Name,Album,Artist,PreviewURL,Image,Language,SpotifyURL
ALWAY5 YOU,Broken Symphonies,Jan Metternich,null,https://i.scdn.co/image/ab67616d0000b27359d587e194745dbd25b35ada,English,https://open.spotify.com/track/6vfAolvxdmoNroUS0v5jBU
Into Your Arms (feat. Ava Max),Into Your Arms (feat. Ava Max),Witt Lowry,null,https://i.scdn.co/image/ab67616d0000b27378023ccce25da7ca56a479e9,English,https://open.spotify.com/track/0b11D9D0hMOYCIMN3OKreM
Children Of War - Sped Up,Children Of War (Sped Up),VanMilli,null,https://i.scdn.co/image/ab67616d0000b273de66ec3e3386dedb0775ff02,English,https://open.spotify.com/track/1916jqwROGcPyQNjfCxBIR
Arcade,Small Town Boy (Track By Track),Duncan Laurence,null,https://i.scdn.co/image/ab67616d0000b27359ce61a220822995a3ccd27f,English,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
Dark Knight,Dark Knight,Cwby,null,https://i.scdn.co/image/ab67616d0000b27356e348826c833b07e4c84295,English,https://open.spotify.com/track/2ENftrVuQ2d9U2YRrlvHZJ
SIRENS 1N MY H3AD,Broken Symphonies,Jan Metternich,null,https://i.scdn.co/image/ab67616d0000b27359d587e194745dbd25b35ada,English,https://open.spotify.com/track/4fRia0fHIXiG8NDj66WH2D
Singularity,Decadence,Kayze,null,https://i.scdn.co/image/ab67616d0000b27316660ec919af8414ce044443,English,https://open.spotify.com/track/5qitqii4YhTaoZliQSHE60
Summertime Sadness,Born To Die (Deluxe Version),Lana Del Rey,null,https://i.scdn.co/image/ab67616d0000b27325544cd65c6f85d55ec66b20,English,https://open.spotify.com/track/0B4jcZKVz3jb0rhivYq54d
Myself,Mutually Assured Destruction,Kayze,null,https://i.scdn.co/image/ab67616d0000b2735491a7ae927db97aab250b0c,English,https://open.spotify.com/track/0xWwbLbnDrfGD11MItWeQX
W1THOUT A RE4SON,Broken Symphonies,Jan Metternich,null,https://i.scdn.co/image/ab67616d0000b27359d587e194745dbd25b35ada,English,https://open.spotify.com/track/1PXNKt7VATthCOOnwh707u
